area_name,area_type,time_of_day,lighting_quality,crime_rate,crowd_density,incident_count,cctv_coverage,police_distance_km,safety_score,safety_label,lat,lng,ward_no,women_safety_risk,street_light_coverage,police_station_nearby,ncrb_crime_intensity
AB Road,commercial,4,good,low,low,3,yes,1.3,58.9,Medium,22.7233,75.8958,52,low,full,0,0.61
Dewas Road,commercial,14,medium,medium,medium,12,yes,4.0,55.3,Medium,22.7456,75.8234,75,low,partial,0,0.47
Tejaji Nagar,residential,7,medium,medium,medium,21,no,3.2,29.2,Unsafe,22.6934,75.8345,23,medium,partial,0,0.38
Geeta Bhawan,residential,0,good,low,low,4,yes,2.8,59.0,Medium,22.7242,75.882,38,low,full,0,0.6
Bypass Roads,isolated,16,poor,high,low,62,no,9.0,11.4,Unsafe,22.7823,75.8789,80,high,none,0,0.77
Aerodrome Road,commercial,15,good,low,medium,1,yes,2.0,92.3,Safe,22.7234,75.8012,25,low,partial,1,0.47
Old Railway Lanes,isolated,14,poor,high,low,40,no,6.5,18.4,Unsafe,22.7134,75.8423,15,high,none,0,0.83
Pardeshipura,industrial,15,medium,medium,low,9,no,5.0,31.0,Unsafe,22.7289,75.8534,33,medium,partial,1,0.7
Hira Nagar,residential,1,medium,low,low,4,no,3.0,43.4,Medium,22.7534,75.8823,62,low,partial,0,0.56
Rau Bypass,isolated,5,poor,high,low,34,no,7.5,8.8,Unsafe,22.6623,75.8034,1,high,none,0,1.02
Palasia,commercial,22,good,low,medium,5,yes,1.5,65.9,Medium,22.7197,75.8772,32,low,full,1,0.61
Dwarkapuri,residential,5,good,low,low,7,yes,2.5,56.2,Medium,22.7423,75.8867,46,low,partial,0,0.58
Banganga,residential,23,medium,medium,low,20,no,4.0,7.7,Unsafe,22.6934,75.8656,5,medium,partial,1,0.53
Aerodrome Road,commercial,17,good,low,medium,1,yes,2.0,87.0,Safe,22.7234,75.8012,25,low,partial,1,0.5
Nemawar Road,isolated,22,poor,high,low,26,no,7.5,17.5,Unsafe,22.6543,75.8234,2,high,none,0,1.02
Super Corridor,commercial,0,good,low,low,3,yes,2.0,58.2,Medium,22.8123,75.8934,85,low,full,0,0.68
Sarafa Bazar,market,18,good,low,high,6,yes,0.9,85.9,Safe,22.7167,75.8554,9,low,partial,0,0.61
Bambori,isolated,2,poor,high,low,25,no,8.5,11.7,Unsafe,22.8234,75.8623,86,low,none,0,1.03
Limbodi,residential,0,medium,medium,low,13,no,5.5,9.2,Unsafe,22.8123,75.8456,84,medium,partial,0,0.58
Manik Bagh,residential,17,good,low,medium,2,yes,2.1,88.0,Safe,22.6934,75.8823,6,low,partial,0,0.4
Loha Mandi,industrial,22,poor,high,low,34,no,7.0,11.3,Unsafe,22.7089,75.8512,14,high,none,0,0.94
Govind Colony,residential,0,medium,low,low,8,no,3.8,34.3,Unsafe,22.7312,75.8912,47,low,partial,0,0.57
Bambori,isolated,2,poor,high,low,55,no,8.5,8.6,Unsafe,22.8234,75.8623,86,low,none,0,1.04
Murai Mohalla,residential,6,medium,medium,low,19,no,4.5,20.9,Unsafe,22.7145,75.8478,13,high,partial,0,0.41
Raoji Bazar,market,11,medium,medium,high,7,yes,1.8,53.2,Medium,22.7198,75.8534,11,high,partial,0,0.58
Malwa Mill,industrial,2,poor,high,low,22,no,6.0,23.0,Unsafe,22.7234,75.8345,16,high,none,0,0.95
Tilak Nagar,residential,15,medium,medium,low,8,no,4.2,45.6,Medium,22.7089,75.8734,10,low,partial,1,0.44
Navlakha,commercial,12,medium,low,high,3,yes,1.8,80.8,Safe,22.7156,75.8689,20,medium,partial,1,0.42
Anand Bazaar,commercial,23,good,low,medium,4,yes,1.6,65.4,Medium,22.7167,75.8623,21,low,partial,0,0.66
Palasia,commercial,10,good,low,high,2,yes,1.5,95.3,Safe,22.7197,75.8772,32,low,full,1,0.47
Rajwada,market,16,medium,medium,high,17,yes,1.5,55.9,Medium,22.718,75.8573,8,medium,partial,1,0.61
Tilak Nagar,residential,21,medium,medium,low,8,no,4.2,19.9,Unsafe,22.7089,75.8734,10,low,partial,1,0.51
Nanda Nagar,residential,8,medium,low,medium,3,yes,2.5,79.5,Safe,22.7456,75.8956,64,low,partial,0,0.45
Old Railway Lanes,isolated,13,poor,high,low,37,no,6.5,12.9,Unsafe,22.7134,75.8423,15,high,none,0,0.83
LIG Colony,residential,7,good,low,medium,3,yes,2.4,88.1,Safe,22.7423,75.8734,55,low,partial,1,0.39
Bhanwarkuan,residential,16,medium,medium,medium,16,no,3.5,47.9,Medium,22.6812,75.8645,3,low,partial,0,0.41
Anand Bazaar,commercial,12,good,low,high,3,yes,1.6,95.4,Safe,22.7167,75.8623,21,low,partial,0,0.46
Malwa Mill,industrial,3,poor,high,low,38,no,6.0,9.9,Unsafe,22.7234,75.8345,16,high,none,0,0.99
Scheme 94,residential,12,good,low,medium,3,yes,2.0,92.8,Safe,22.7534,75.8612,94,low,partial,0,0.42
Malwa Mill,industrial,18,poor,high,low,23,no,6.0,14.0,Unsafe,22.7234,75.8345,16,high,none,0,0.69
Loha Mandi,industrial,1,poor,high,low,43,no,7.0,11.4,Unsafe,22.7089,75.8512,14,high,none,0,0.93
Nemawar Road,isolated,17,poor,high,low,50,no,7.5,19.9,Unsafe,22.6543,75.8234,2,high,none,0,0.8
Raoji Bazar,market,18,medium,medium,high,17,yes,1.8,43.1,Medium,22.7198,75.8534,11,high,partial,0,0.59
Lasudia,residential,4,poor,medium,low,18,no,5.0,24.4,Unsafe,22.7567,75.9234,72,low,partial,1,0.58
Annapurna Road,commercial,7,medium,medium,medium,14,yes,3.0,56.8,Medium,22.6975,75.8782,7,low,partial,1,0.42
MG Road,commercial,6,good,low,medium,3,yes,1.0,87.0,Safe,22.7196,75.8799,18,low,full,1,0.5
Hira Nagar,residential,23,medium,low,low,20,no,3.0,35.1,Unsafe,22.7534,75.8823,62,low,partial,0,0.59
Limbodi,residential,15,medium,medium,low,11,no,5.5,27.9,Unsafe,22.8123,75.8456,84,medium,partial,0,0.41
Anand Bazaar,commercial,5,good,low,low,2,yes,1.6,58.8,Medium,22.7167,75.8623,21,low,partial,0,0.62
Tilak Nagar,residential,22,medium,medium,low,17,no,4.2,14.8,Unsafe,22.7089,75.8734,10,low,partial,1,0.52
Chhota Bangarda,residential,4,medium,medium,low,13,no,5.0,14.6,Unsafe,22.7823,75.9123,76,low,none,0,0.54
Bada Rawla Naka,market,1,medium,medium,low,10,no,3.5,16.3,Unsafe,22.7089,75.8556,19,low,partial,0,0.87
Palasia,commercial,10,good,low,high,3,yes,1.5,95.3,Safe,22.7197,75.8772,32,low,full,1,0.47
Scheme 78,residential,12,good,low,medium,3,yes,2.2,93.4,Safe,22.7467,75.8756,78,low,full,0,0.36
Hira Nagar,residential,12,medium,low,medium,12,no,3.0,69.4,Medium,22.7534,75.8823,62,low,partial,0,0.36
Sapna Sangeeta,commercial,14,good,low,high,3,yes,1.8,95.3,Safe,22.7273,75.88,41,low,full,0,0.47
Navlakha,commercial,13,medium,low,high,3,yes,1.8,80.2,Safe,22.7156,75.8689,20,medium,partial,1,0.48
Mhow Road,commercial,2,medium,medium,low,5,yes,3.5,30.0,Unsafe,22.6534,75.8234,26,low,partial,0,0.6
Mhow Road,commercial,6,medium,medium,low,5,yes,3.5,51.0,Medium,22.6534,75.8234,26,low,partial,0,0.5
Anand Bazaar,commercial,0,good,low,low,1,yes,1.6,58.7,Medium,22.7167,75.8623,21,low,partial,0,0.63
Sanwer Road Indl,industrial,5,poor,high,low,48,no,7.0,13.8,Unsafe,22.7456,75.8123,74,medium,partial,0,1.01
Raoji Bazar,market,22,medium,medium,medium,22,yes,1.8,10.4,Unsafe,22.7198,75.8534,11,high,partial,0,0.86
Tilak Nagar,residential,14,medium,medium,low,10,no,4.2,45.7,Medium,22.7089,75.8734,10,low,partial,1,0.43
Rau,residential,11,medium,low,medium,13,no,4.0,63.5,Medium,22.6734,75.8123,1,low,partial,1,0.35
Loha Mandi,industrial,3,poor,high,low,55,no,7.0,22.2,Unsafe,22.7089,75.8512,14,high,none,0,0.93
Bada Rawla Naka,market,0,medium,medium,low,13,no,3.5,11.9,Unsafe,22.7089,75.8556,19,low,partial,0,0.81
Hira Nagar,residential,22,medium,low,low,9,no,3.0,40.4,Medium,22.7534,75.8823,62,low,partial,0,0.56
Jawahar Marg,commercial,3,good,low,low,7,yes,1.5,56.1,Medium,22.7178,75.8712,22,low,partial,0,0.59
Nemawar Road,isolated,18,poor,high,low,34,no,7.5,16.3,Unsafe,22.6543,75.8234,2,high,none,0,0.81
Chambal Colony,residential,23,poor,high,low,39,no,6.5,8.1,Unsafe,22.7289,75.8478,35,low,partial,0,0.59
Bapat Square,commercial,0,good,low,low,4,yes,1.4,58.8,Medium,22.7234,75.8867,36,low,full,0,0.62
Sapna Sangeeta,commercial,20,good,low,high,4,yes,1.8,68.5,Medium,22.7273,75.88,41,low,full,0,0.65
Limbodi,residential,20,medium,medium,low,11,no,5.5,18.8,Unsafe,22.8123,75.8456,84,medium,partial,0,0.59
Bhawarkuan,residential,6,medium,medium,low,15,no,3.8,35.7,Unsafe,22.6812,75.8645,3,low,partial,1,0.43
Kanadiya,residential,14,medium,medium,medium,14,no,4.5,47.6,Medium,22.7934,75.8456,83,low,partial,1,0.44
Palasia,commercial,21,good,low,high,4,yes,1.5,69.0,Medium,22.7197,75.8772,32,low,full,1,0.6
Scheme 54,residential,7,good,low,medium,6,yes,2.5,85.5,Safe,22.7411,75.8673,54,low,full,1,0.35
Super Corridor,commercial,8,good,low,medium,4,yes,2.0,87.2,Safe,22.8123,75.8934,85,low,full,0,0.48
Kanadiya Road,isolated,2,poor,high,low,43,no,8.0,15.3,Unsafe,22.7823,75.8456,82,low,partial,0,1.03
Mhow Road,commercial,7,medium,medium,medium,8,yes,3.5,55.3,Medium,22.6534,75.8234,26,low,partial,0,0.47
Bypass Roads,isolated,4,poor,high,low,43,no,9.0,18.0,Unsafe,22.7823,75.8789,80,high,none,0,1.01
Hatod Road,isolated,16,poor,high,low,58,no,8.5,22.8,Unsafe,22.7823,75.7934,81,low,none,0,0.84
Pardeshipura,industrial,22,medium,medium,low,16,no,5.0,13.8,Unsafe,22.7289,75.8534,33,medium,partial,1,0.98
Siyaganj,market,19,medium,medium,high,9,yes,2.0,48.2,Medium,22.7212,75.8623,17,high,partial,1,0.58
Pigdambar,isolated,18,poor,medium,low,18,no,8.0,23.0,Unsafe,22.8234,75.9234,87,low,none,0,0.78
Nanda Nagar,residential,5,medium,low,low,2,yes,2.5,51.7,Medium,22.7456,75.8956,64,low,partial,0,0.53
Betma Road,isolated,3,poor,high,low,29,no,9.0,20.0,Unsafe,22.7123,75.7723,79,high,none,0,1.02
Bada Rawla Naka,market,20,medium,medium,medium,9,no,3.5,23.7,Unsafe,22.7089,75.8556,19,low,partial,0,0.83
Limbodi,residential,10,medium,medium,low,9,no,5.5,32.8,Unsafe,22.8123,75.8456,84,medium,partial,0,0.42
Hira Nagar,residential,13,medium,low,medium,11,no,3.0,69.0,Medium,22.7534,75.8823,62,low,partial,0,0.4
Limbodi,residential,16,medium,medium,low,14,no,5.5,27.6,Unsafe,22.8123,75.8456,84,medium,partial,0,0.44
Sanwer Road Indl,industrial,6,poor,high,low,36,no,7.0,14.8,Unsafe,22.7456,75.8123,74,medium,partial,0,0.74
Hatod Road,isolated,21,poor,high,low,20,no,8.5,17.1,Unsafe,22.7823,75.7934,81,low,none,0,0.97
Bapat Square,commercial,2,good,low,low,4,yes,1.4,58.8,Medium,22.7234,75.8867,36,low,full,0,0.62
Dewas Road,commercial,17,medium,medium,medium,15,yes,4.0,50.9,Medium,22.7456,75.8234,75,low,partial,0,0.41
Rau,residential,21,medium,low,medium,12,no,4.0,36.4,Unsafe,22.6734,75.8123,1,low,partial,1,0.56
LIG Colony,residential,15,good,low,medium,4,yes,2.4,93.2,Safe,22.7423,75.8734,55,low,partial,1,0.38
Murai Mohalla,residential,8,medium,medium,low,9,no,4.5,25.6,Unsafe,22.7145,75.8478,13,high,partial,0,0.44
Bypass Roads,isolated,9,poor,high,low,45,no,9.0,11.5,Unsafe,22.7823,75.8789,80,high,none,0,0.83
Bypass Roads,isolated,16,poor,high,low,27,no,9.0,24.7,Unsafe,22.7823,75.8789,80,high,none,0,0.79
Navlakha,commercial,23,medium,low,medium,5,yes,1.8,50.8,Medium,22.7156,75.8689,20,medium,partial,1,0.62
Sudama Nagar,residential,7,medium,medium,low,13,no,4.5,36.1,Unsafe,22.6891,75.8731,4,low,partial,0,0.39
Nipania,residential,1,good,low,low,6,yes,2.2,56.5,Medium,22.7634,75.9123,71,low,partial,0,0.55
Bicholi Mardana,residential,1,poor,medium,low,18,no,5.5,18.3,Unsafe,22.7734,75.9234,77,medium,partial,0,0.58
Govind Colony,residential,15,medium,low,medium,5,no,3.8,71.4,Safe,22.7312,75.8912,47,low,partial,0,0.36
Scheme 78,residential,22,good,low,low,4,yes,2.2,59.3,Medium,22.7467,75.8756,78,low,full,0,0.57
Scheme 54,residential,3,good,low,low,4,yes,2.5,59.7,Medium,22.7411,75.8673,54,low,full,1,0.53
Hira Nagar,residential,4,medium,low,low,10,no,3.0,40.8,Medium,22.7534,75.8823,62,low,partial,0,0.52
Sapna Sangeeta,commercial,0,good,low,low,1,yes,1.8,58.2,Medium,22.7273,75.88,41,low,full,0,0.68
Mhow Road,commercial,10,medium,medium,medium,9,yes,3.5,60.7,Medium,22.6534,75.8234,26,low,partial,0,0.43
Old Railway Lanes,isolated,19,poor,high,low,33,no,6.5,5.9,Unsafe,22.7134,75.8423,15,high,none,0,0.8
Bada Rawla Naka,market,14,medium,medium,medium,13,no,3.5,46.1,Medium,22.7089,75.8556,19,low,partial,0,0.59
Aerodrome Road,commercial,7,good,low,medium,4,yes,2.0,87.1,Safe,22.7234,75.8012,25,low,partial,1,0.49
Hatod Road,isolated,14,poor,high,low,34,no,8.5,11.5,Unsafe,22.7823,75.7934,81,low,none,0,0.83
Govind Colony,residential,1,medium,low,low,5,no,3.8,37.7,Unsafe,22.7312,75.8912,47,low,partial,0,0.53
Anand Bazaar,commercial,15,good,low,high,3,yes,1.6,95.7,Safe,22.7167,75.8623,21,low,partial,0,0.43
Aerodrome Road,commercial,13,good,low,medium,1,yes,2.0,92.9,Safe,22.7234,75.8012,25,low,partial,1,0.41
Hatod Road,isolated,18,poor,high,low,32,no,8.5,17.5,Unsafe,22.7823,75.7934,81,low,none,0,0.76
Super Corridor,commercial,2,good,low,low,3,yes,2.0,59.0,Medium,22.8123,75.8934,85,low,full,0,0.6
Tejpur Gadbadi,isolated,15,poor,high,low,42,no,9.5,6.1,Unsafe,22.7534,75.9345,73,low,none,0,0.85
Chappan Dukan,market,19,good,low,high,3,yes,1.0,89.1,Safe,22.7312,75.8823,43,low,full,0,0.59
Lasudia,residential,7,poor,medium,low,20,no,5.0,23.5,Unsafe,22.7567,75.9234,72,low,partial,1,0.45
Palda,residential,2,medium,medium,low,20,no,5.0,14.7,Unsafe,22.6734,75.9123,24,low,partial,0,0.53
Manik Bagh,residential,21,good,low,medium,3,yes,2.1,66.7,Medium,22.6934,75.8823,6,low,partial,0,0.53
Malwa Mill,industrial,9,poor,high,low,36,no,6.0,5.5,Unsafe,22.7234,75.8345,16,high,none,0,0.73
Pigdambar,isolated,19,poor,medium,low,18,no,8.0,14.0,Unsafe,22.8234,75.9234,87,low,none,0,0.79
Malwa Mill,industrial,4,poor,high,low,23,no,6.0,11.7,Unsafe,22.7234,75.8345,16,high,none,0,1.03
Pardeshipura,industrial,18,medium,medium,low,6,no,5.0,26.2,Unsafe,22.7289,75.8534,33,medium,partial,1,0.68
Scheme 94,residential,19,good,low,medium,4,yes,2.0,88.3,Safe,22.7534,75.8612,94,low,partial,0,0.37
Jawahar Marg,commercial,1,good,low,low,1,yes,1.5,58.3,Medium,22.7178,75.8712,22,low,partial,0,0.67
Geeta Bhawan,residential,16,good,low,medium,4,yes,2.8,92.5,Safe,22.7242,75.882,38,low,full,0,0.45
Bypass Roads,isolated,8,poor,high,low,54,no,9.0,13.8,Unsafe,22.7823,75.8789,80,high,none,0,0.77
Palasia,commercial,13,good,low,high,3,yes,1.5,96.0,Safe,22.7197,75.8772,32,low,full,1,0.4
Bhawarkuan,residential,8,medium,medium,medium,10,no,3.8,47.6,Medium,22.6812,75.8645,3,low,partial,1,0.44
South Tukoganj,commercial,2,good,low,low,3,yes,0.8,58.4,Medium,22.7148,75.8826,12,low,full,0,0.66
Khajrana,residential,2,medium,medium,low,13,no,3.5,6.9,Unsafe,22.7395,75.9107,61,medium,partial,1,0.61
South Tukoganj,commercial,3,good,low,low,4,yes,0.8,58.7,Medium,22.7148,75.8826,12,low,full,0,0.63
Kesar Bagh,residential,17,good,low,medium,4,yes,2.3,87.7,Safe,22.7189,75.8734,29,low,partial,0,0.43
Chhota Bangarda,residential,8,medium,medium,low,7,no,5.0,41.2,Medium,22.7823,75.9123,76,low,none,0,0.38
AB Road,commercial,7,good,low,high,1,yes,1.3,90.2,Safe,22.7233,75.8958,52,low,full,0,0.48
Anand Bazaar,commercial,14,good,low,high,6,yes,1.6,92.3,Safe,22.7167,75.8623,21,low,partial,0,0.47
Mhow Road,commercial,11,medium,medium,medium,14,yes,3.5,55.8,Medium,22.6534,75.8234,26,low,partial,0,0.42
Chhota Bangarda,residential,2,medium,medium,low,19,no,5.0,14.8,Unsafe,22.7823,75.9123,76,low,none,0,0.52
Bhanwarkuan,residential,11,medium,medium,medium,15,no,3.5,48.0,Medium,22.6812,75.8645,3,low,partial,0,0.4
Kanadiya,residential,6,medium,medium,low,19,no,4.5,36.4,Unsafe,22.7934,75.8456,83,low,partial,1,0.36
Chhota Bangarda,residential,18,medium,medium,low,14,no,5.0,36.4,Unsafe,22.7823,75.9123,76,low,none,0,0.36
Bhagirathpura,residential,5,medium,medium,low,21,no,4.0,10.3,Unsafe,22.7212,75.8489,28,high,partial,0,0.56
Chambal Colony,residential,3,poor,high,low,33,no,6.5,8.3,Unsafe,22.7289,75.8478,35,low,partial,0,0.58
South Tukoganj,commercial,12,good,low,high,2,yes,0.8,95.6,Safe,22.7148,75.8826,12,low,full,0,0.44
Dwarkapuri,residential,2,good,low,low,10,yes,2.5,56.8,Medium,22.7423,75.8867,46,low,partial,0,0.52
Banganga,residential,22,medium,medium,low,10,no,4.0,12.2,Unsafe,22.6934,75.8656,5,medium,partial,1,0.58
Rau,residential,3,medium,low,low,7,no,4.0,34.7,Unsafe,22.6734,75.8123,1,low,partial,1,0.53
Navlakha,commercial,12,medium,low,high,1,yes,1.8,80.2,Safe,22.7156,75.8689,20,medium,partial,1,0.48
Pigdambar,isolated,7,poor,medium,low,23,no,8.0,18.8,Unsafe,22.8234,75.9234,87,low,none,0,0.81
Palasia,commercial,3,good,low,low,6,yes,1.5,55.2,Medium,22.7197,75.8772,32,low,full,1,0.68
Lasudia,residential,8,poor,medium,low,19,no,5.0,24.4,Unsafe,22.7567,75.9234,72,low,partial,1,0.36
Sapna Sangeeta,commercial,14,good,low,high,3,yes,1.8,95.2,Safe,22.7273,75.88,41,low,full,0,0.48
Scheme 94,residential,9,good,low,medium,1,yes,2.0,87.7,Safe,22.7534,75.8612,94,low,partial,0,0.43
Dwarkapuri,residential,20,good,low,medium,4,yes,2.5,66.0,Medium,22.7423,75.8867,46,low,partial,0,0.6
Rau,residential,20,medium,low,medium,10,no,4.0,41.5,Medium,22.6734,75.8123,1,low,partial,1,0.55
Annapurna Road,commercial,0,medium,medium,low,8,yes,3.0,32.3,Unsafe,22.6975,75.8782,7,low,partial,1,0.67
Old Railway Lanes,isolated,2,poor,high,low,38,no,6.5,15.3,Unsafe,22.7134,75.8423,15,high,none,0,0.99
Jawahar Marg,commercial,11,good,low,high,3,yes,1.5,95.1,Safe,22.7178,75.8712,22,low,partial,0,0.49
MG Road,commercial,3,good,low,low,4,yes,1.0,59.0,Medium,22.7196,75.8799,18,low,full,1,0.6
Aerodrome Road,commercial,0,good,low,low,3,yes,2.0,58.7,Medium,22.7234,75.8012,25,low,partial,1,0.63
Rajwada,market,1,medium,medium,low,10,yes,1.5,23.9,Unsafe,22.718,75.8573,8,medium,partial,1,0.81
Rau Bypass,isolated,9,poor,high,low,24,no,7.5,9.0,Unsafe,22.6623,75.8034,1,high,none,0,0.85
Scheme 78,residential,13,good,low,medium,2,yes,2.2,93.4,Safe,22.7467,75.8756,78,low,full,0,0.36
Dwarkapuri,residential,23,good,low,low,6,yes,2.5,56.4,Medium,22.7423,75.8867,46,low,partial,0,0.56
Sanwer Road Indl,industrial,14,poor,high,low,45,no,7.0,11.4,Unsafe,22.7456,75.8123,74,medium,partial,0,0.69
Dwarkapuri,residential,18,good,low,medium,9,yes,2.5,85.1,Safe,22.7423,75.8867,46,low,partial,0,0.39
South Tukoganj,commercial,19,good,low,high,1,yes,0.8,90.2,Safe,22.7148,75.8826,12,low,full,0,0.48
Kesar Bagh,residential,15,good,low,medium,1,yes,2.3,92.7,Safe,22.7189,75.8734,29,low,partial,0,0.43
Bhanwarkuan,residential,15,medium,medium,medium,8,no,3.5,53.3,Medium,22.6812,75.8645,3,low,partial,0,0.37
Pipliyahana,residential,20,good,low,medium,6,yes,2.6,63.8,Medium,22.6823,75.8934,48,low,partial,0,0.52
Tilak Nagar,residential,9,medium,medium,low,22,no,4.2,28.7,Unsafe,22.7089,75.8734,10,low,partial,1,0.43
Nipania,residential,6,good,low,low,2,yes,2.2,80.6,Safe,22.7634,75.9123,71,low,partial,0,0.44
Bambori,isolated,0,poor,high,low,50,no,8.5,16.8,Unsafe,22.8234,75.8623,86,low,none,0,0.97
Super Corridor,commercial,21,good,low,medium,2,yes,2.0,65.5,Medium,22.8123,75.8934,85,low,full,0,0.65
Mhow Road,commercial,22,medium,medium,low,15,yes,3.5,22.0,Unsafe,22.6534,75.8234,26,low,partial,0,0.6
Old Railway Lanes,isolated,17,poor,high,low,39,no,6.5,6.4,Unsafe,22.7134,75.8423,15,high,none,0,0.83
South Tukoganj,commercial,23,good,low,medium,2,yes,0.8,66.0,Medium,22.7148,75.8826,12,low,full,0,0.6
Scheme 78,residential,0,good,low,low,3,yes,2.2,59.9,Medium,22.7467,75.8756,78,low,full,0,0.51
Chhota Bangarda,residential,11,medium,medium,low,15,no,5.0,40.7,Medium,22.7823,75.9123,76,low,none,0,0.43
Aerodrome Road,commercial,6,good,low,low,3,yes,2.0,80.3,Safe,22.7234,75.8012,25,low,partial,1,0.47
Banganga,residential,13,medium,medium,medium,12,no,4.0,40.7,Medium,22.6934,75.8656,5,medium,partial,1,0.43
Palasia,commercial,22,good,low,medium,3,yes,1.5,65.5,Medium,22.7197,75.8772,32,low,full,1,0.65
Bhagirathpura,residential,21,medium,medium,medium,12,no,4.0,6.2,Unsafe,22.7212,75.8489,28,high,partial,0,0.58
Kesar Bagh,residential,20,good,low,medium,3,yes,2.3,66.8,Medium,22.7189,75.8734,29,low,partial,0,0.52
Pigdambar,isolated,11,poor,medium,low,21,no,8.0,7.9,Unsafe,22.8234,75.9234,87,low,none,0,0.8
Rajwada,market,2,medium,medium,low,23,yes,1.5,11.5,Unsafe,22.718,75.8573,8,medium,partial,1,0.85
Lasudia,residential,12,poor,medium,low,18,no,5.0,29.4,Unsafe,22.7567,75.9234,72,low,partial,1,0.36
Loha Mandi,industrial,20,poor,high,low,55,no,7.0,6.5,Unsafe,22.7089,75.8512,14,high,none,0,0.95
Kanadiya Road,isolated,14,poor,high,low,24,no,8.0,21.2,Unsafe,22.7823,75.8456,82,low,partial,0,0.84
AB Road,commercial,17,good,low,high,7,yes,1.3,88.0,Safe,22.7233,75.8958,52,low,full,0,0.4
MG Road,commercial,19,good,low,high,2,yes,1.0,90.3,Safe,22.7196,75.8799,18,low,full,1,0.47
Chhota Bangarda,residential,23,medium,medium,low,14,no,5.0,14.9,Unsafe,22.7823,75.9123,76,low,none,0,0.51
Kanadiya Road,isolated,18,poor,high,low,22,no,8.0,20.0,Unsafe,22.7823,75.8456,82,low,partial,0,0.77
Manik Bagh,residential,9,good,low,medium,4,yes,2.1,88.3,Safe,22.6934,75.8823,6,low,partial,0,0.37
Kanadiya,residential,2,medium,medium,low,10,no,4.5,19.1,Unsafe,22.7934,75.8456,83,low,partial,1,0.59
Juni Indore,market,2,medium,medium,low,8,no,3.0,7.4,Unsafe,22.7123,75.8512,16,high,partial,0,0.86
Banganga,residential,19,medium,medium,medium,18,no,4.0,35.9,Unsafe,22.6934,75.8656,5,medium,partial,1,0.41
Loha Mandi,industrial,13,poor,high,low,44,no,7.0,20.1,Unsafe,22.7089,75.8512,14,high,none,0,0.7
Kanadiya Road,isolated,14,poor,high,low,27,no,8.0,19.3,Unsafe,22.7823,75.8456,82,low,partial,0,0.83
Hira Nagar,residential,14,medium,low,medium,4,no,3.0,77.3,Safe,22.7534,75.8823,62,low,partial,0,0.37
Raoji Bazar,market,20,medium,medium,high,17,yes,1.8,20.8,Unsafe,22.7198,75.8534,11,high,partial,0,0.82
Malwa Mill,industrial,14,poor,high,low,43,no,6.0,18.4,Unsafe,22.7234,75.8345,16,high,none,0,0.69
Rau,residential,23,medium,low,low,12,no,4.0,29.1,Unsafe,22.6734,75.8123,1,low,partial,1,0.59
Rajwada,market,17,medium,medium,high,8,yes,1.5,56.4,Medium,22.718,75.8573,8,medium,partial,1,0.56
Raoji Bazar,market,8,medium,medium,high,10,yes,1.8,48.1,Medium,22.7198,75.8534,11,high,partial,0,0.59
Old Railway Lanes,isolated,22,poor,high,low,24,no,6.5,14.5,Unsafe,22.7134,75.8423,15,high,none,0,1.0
Murai Mohalla,residential,1,medium,medium,low,12,no,4.5,17.8,Unsafe,22.7145,75.8478,13,high,partial,0,0.56
Nanda Nagar,residential,20,medium,low,medium,11,yes,2.5,50.0,Medium,22.7456,75.8956,64,low,partial,0,0.6
Mhow Road,commercial,9,medium,medium,medium,10,yes,3.5,55.7,Medium,22.6534,75.8234,26,low,partial,0,0.43
Chhota Bangarda,residential,3,medium,medium,low,9,no,5.0,19.7,Unsafe,22.7823,75.9123,76,low,none,0,0.53
Chambal Colony,residential,11,poor,high,low,40,no,6.5,5.8,Unsafe,22.7289,75.8478,35,low,partial,0,0.36
Limbodi,residential,1,medium,medium,low,6,no,5.5,6.4,Unsafe,22.8123,75.8456,84,medium,partial,0,0.56
Loha Mandi,industrial,22,poor,high,low,34,no,7.0,17.4,Unsafe,22.7089,75.8512,14,high,none,0,1.0
Tejaji Nagar,residential,16,medium,medium,medium,15,no,3.2,40.9,Medium,22.6934,75.8345,23,medium,partial,0,0.41
Limbodi,residential,21,medium,medium,low,11,no,5.5,20.6,Unsafe,22.8123,75.8456,84,medium,partial,0,0.59
Sudama Nagar,residential,5,medium,medium,low,17,no,4.5,14.2,Unsafe,22.6891,75.8731,4,low,partial,0,0.58
Betma Road,isolated,6,poor,high,low,31,no,9.0,15.0,Unsafe,22.7123,75.7723,79,high,none,0,0.76
Jawahar Marg,commercial,9,good,low,high,3,yes,1.5,90.1,Safe,22.7178,75.8712,22,low,partial,0,0.49
Sarafa Bazar,market,0,good,low,low,4,yes,0.9,76.5,Safe,22.7167,75.8554,9,low,partial,0,0.85
Anand Bazaar,commercial,3,good,low,low,3,yes,1.6,58.8,Medium,22.7167,75.8623,21,low,partial,0,0.62
Bhagirathpura,residential,22,medium,medium,low,10,no,4.0,12.2,Unsafe,22.7212,75.8489,28,high,partial,0,0.51
Manik Bagh,residential,17,good,low,medium,4,yes,2.1,87.5,Safe,22.6934,75.8823,6,low,partial,0,0.45
Sapna Sangeeta,commercial,13,good,low,high,1,yes,1.8,95.4,Safe,22.7273,75.88,41,low,full,0,0.46
Scheme 94,residential,5,good,low,low,2,yes,2.0,59.6,Medium,22.7534,75.8612,94,low,partial,0,0.54
